Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what is a phalanx,Easy,Remembering,Description,Definition
what mustachioed comedian portrayed frankie in north to alaska,Medium,Remembering,Human,Individual
what does each of the utilities cost in monopoly,Medium,Understanding,Numeric,Money
what actor and world war ii airman had a $      bounty put on his head by hermann goering,Medium,Understanding,Human,Individual
what does e g  stand for,Hard,Understanding,Abbreviation,Expression
what is the name of the medical condition in which a baby is born without a brain,Easy,Remembering,Entity,Disease or medical condition
how do storms form,Hard,Understanding,Description,Manner
who is nicolo paganini,Easy,Remembering,Human,Description
what city is often called the insurance capital of the world,Easy,Remembering,Location,City
what are the three animals in sheila burnford  s the incredible journey,Medium,Understanding,Entity,Animal
who portrayed dracula in hammer studios   films,Easy,Remembering,Human,Individual
name one of the seven wonders of the ancient world  ,Medium,Remembering,Entity,Other
when were fish first believed to be found on earth,Medium,Creating,Numeric,Date
what president  s favorite biblical quotation was      come now   and let us reason together     ,Hard,Understanding,Human,Individual
how many elevators do you ride to reach the top floor of the empire state building,Medium,Understanding,Numeric,Count
name the food company that traveled to soviet georgia to film a series of ads  ,Medium,Remembering,Human,Groups
what country was sir edmund hillary born in,Medium,Understanding,Location,Country
what  s an infant seal called,Medium,Creating,Entity,Animal
what was the proper laugh in respones to      say goodnight   dick   ,Medium,Remembering,Description,Description
what city was john f  kennedy nominated for president in,Hard,Understanding,Location,City
how long does a dog sleep,Hard,Understanding,Numeric,Period of time
what      joseph l  mankiewicz film cost $   million,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what japanese electronics company was named for a coastal city northeast of tokyo,Hard,Creating,Human,Groups
what can you be fined for having a dog on a beach,Medium,Creating,Numeric,Money
where did the battle of the bulge take place,Medium,Understanding,Location,Other
how much will the california be in the year     ,Hard,Understanding,Numeric,Count
what mystery writer penned       the glory that was greece   and the grandeur that was rome   ,Hard,Understanding,Human,Individual
what state full of milk and honey was the destination in the grapes of wrath,Hard,Understanding,Location,State or province
what is the tallest building in japan,Easy,Remembering,Location,Other
where is sinn fein  s headquarters,Easy,Remembering,Location,Other
name li  l abner  s favorite indian drink  ,Medium,Remembering,Entity,Food
what are some important events of the       s,Medium,Understanding,Entity,Event
the iraqis launched their attack on kuwait on what day,Medium,Understanding,Numeric,Date
what letter adorns the flag of rwanda,Medium,Understanding,Entity,Letter
what did     cd nns vbp to vb nnp pos nn  ,Medium,Creating,Entity,Other
what is god,Easy,Remembering,Description,Definition
what country  s northernmost city is darwin,Easy,Remembering,Location,Country
what sound does olympia   washington   overlook,Medium,Understanding,Location,Other
what tv show chronicled the lives of katy holstrum and congressman glen morley,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what kentucky city calls itself the horse center of america,Medium,Remembering,Location,City
how many penny farthings are there on a trivial pursuit game board,Medium,Understanding,Numeric,Count
what  s the most abundant element in the sun,Easy,Understanding,Entity,Substance
what european country boasts the city of furth   found where the rivers rednitz and pegnitz converge,Easy,Remembering,Location,Country
what u s  state is dixville notch in,Easy,Remembering,Location,State or province
where was the cisalpine republic             ,Hard,Analyzing,Location,Other
what is the largest shopping mall in the world,Easy,Remembering,Location,Other
what is the protagonist  s name in dostoevski  s    the idiot   ,Easy,Remembering,Human,Individual
what penalty space lies between baltic avenue and reading railroad on a monopoly board,Medium,Understanding,Entity,Other
what presidential press secretary dismissed watergate as a third rate burglary attempt,Medium,Understanding,Human,Individual
what is a meerkat,Easy,Remembering,Description,Definition
who was jean nicolet,Easy,Remembering,Human,Description
what kind of animal was winnie the pooh,Medium,Understanding,Entity,Animal
which of these are authors,Medium,Understanding,Human,Individual
what  s the international radio code word for the letter b,Hard,Understanding,Entity,Word
who was the original humpty dumpty,Easy,Remembering,Human,Individual
what is cache memory,Easy,Remembering,Description,Definition
aspartame is also known as what,Easy,Remembering,Entity,Term or equation
where is the location of the orange bowl,Easy,Remembering,Location,Other
when is president nixon  s birthday,Easy,Remembering,Numeric,Date
what is the origin of the midwest slang     you  re darn tootin  ,Easy,Remembering,Description,Description
whose cupboard was bare,Medium,Understanding,Human,Individual
what are the seven seas,Medium,Understanding,Location,Other
what does ibm stand for,Hard,Understanding,Abbreviation,Expression
what is the difference between jazz and blues,Easy,Remembering,Description,Description
what is the c programming language,Easy,Remembering,Description,Definition
what  s the name of popeye  s adopted son,Medium,Remembering,Human,Individual
who invented the vacuum cleaner,Easy,Remembering,Human,Individual
what is a   borrow pit  ,Easy,Remembering,Description,Definition
what  th century fictional character attends pencey prep school,Medium,Understanding,Human,Individual
how many people in the usa say their number one source of information is the newspaper,Easy,Remembering,Numeric,Count
who does shakespeare  s antonio borrow       ducats from,Easy,Remembering,Human,Individual
which country is known as    big bear   ,Easy,Remembering,Location,Country
what    melts in your mouth   not in your hands     ,Medium,Understanding,Entity,Food
how many times a day should you take a prescription marked    q i d     ,Medium,Creating,Numeric,Count
what is the origin of the atom,Easy,Remembering,Description,Description
who is the voyager project manager,Easy,Remembering,Human,Individual
which radio stations air the jim bohannon radio talk show,Medium,Remembering,Human,Groups
what two commanders directed the forces in the battle of el alamein,Medium,Understanding,Human,Individual
name the creator of    the muppets     ,Medium,Remembering,Human,Individual
how do i e mail someone at aol com from yahoo com,Hard,Understanding,Description,Manner
who replies    i know    to princess leia  s confession    i love you    in the empire strikes back,Medium,Remembering,Human,Individual
what is the meaning of the name ella,Easy,Remembering,Description,Definition
what  s the home of the rockettes,Medium,Understanding,Location,Other
where can i find all the information i need to know about the english civil war              ,Medium,Understanding,Location,Other
